ѕериод,–еспублика Ѕашкортостан,ѕриволжский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"84,80","97,60","99,60"
€нварь-июнь 2020 года,"90,10","99,30","99,50"
€нварь-март 2020 года,"93,20","99,80","101,10"
€нварь-декабрь 2019 года,"107,60","101,60","100,60"
€нварь-сент€брь 2019 года,"102,60","101,50","100,30"
€нварь-июнь 2019 года,"103,70","95,90","100,10"
€нварь-март 2019 года,"102,10","88,30","100,20"
€нварь-декабрь 2018 года,"91,50","91,30","105,30"
€нварь-сент€брь 2018 года,"84,00","87,90","99,30"
€нварь-июнь 2018 года,"78,40","89,20","99,00"
€нварь-март 2018 года,"90,20","93,90","98,60"
€нварь-декабрь 2017 года,"90,20","93,90","98,60"
€нварь-сент€брь 2017 года,"94,70","92,10","98,00"
€нварь-июнь 2017 года,"98,20","89,50","100,20"
€нварь-март 2017 года,"80,30","88,50","95,70"
€нварь-декабрь 2016 года,"97,40","94,50","95,70"
€нварь-сент€брь 2016 года,"98,70","95,20","95,60"
€нварь-июнь 2016 года,"95,70","95,30","94,29"
€нварь-март 2016 года,"99,50","93,70","98,40"
€нварь-декабрь 2015 года,"100,20","95,40","92,95"
€нварь-сент€брь 2015 года,"98,70","93,80","91,60"
€нварь-июнь 2015 года,"100,20","93,50","93,00"
€нварь-март 2015 года,"107,00","92,50","95,30"
€нварь-декабрь 2014 года,"98,80","101,80","95,50"
€нварь-сент€брь 2014 года,"99,60","100,30","96,70"
€нварь-июнь 2014 года,"97,60","98,60","97,40"
€нварь-март 2014 года,"85,70","95,90","96,40"
€нварь-декабрь 2013 года,"95,60","101,20","98,50"
€нварь-сент€брь 2013 года,"93,40","102,00","98,90"
€нварь-июнь 2013 года,"100,10","105,50","98,10"
€нварь-март 2013 года,"92,90","103,00","100,60"
