ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"123,20","118,00","99,60"
€нварь-июнь 2020 года,"120,40","115,60","99,50"
€нварь-март 2020 года,"117,60","111,60","101,10"
€нварь-декабрь 2019 года,"90,10",,"100,60"
€нварь-сент€брь 2019 года,"76,70","79,90","100,30"
€нварь-июнь 2019 года,"78,40","81,00","100,10"
€нварь-март 2019 года,"59,40","65,90","100,20"
€нварь-декабрь 2018 года,"191,90","163,50","105,30"
€нварь-сент€брь 2018 года,"118,80","117,50","99,30"
€нварь-июнь 2018 года,"120,60","117,70","99,00"
€нварь-март 2018 года,"101,00","98,80","98,60"
€нварь-декабрь 2017 года,"101,00","98,80","98,60"
€нварь-сент€брь 2017 года,"89,00","94,60","98,00"
€нварь-июнь 2017 года,"90,70","95,60","100,20"
€нварь-март 2017 года,"84,70","94,70","95,70"
€нварь-декабрь 2016 года,"100,30","100,60","95,70"
€нварь-сент€брь 2016 года,"98,60","97,80","95,60"
€нварь-июнь 2016 года,"94,90","94,40","94,29"
€нварь-март 2016 года,"96,70","94,00","98,40"
€нварь-декабрь 2015 года,"86,80","86,80","92,95"
€нварь-сент€брь 2015 года,"92,50","90,40","91,60"
€нварь-июнь 2015 года,"88,00","87,60","93,00"
€нварь-март 2015 года,"77,60","81,20","95,30"
€нварь-декабрь 2014 года,"95,30","95,20","95,50"
€нварь-сент€брь 2014 года,"88,30","90,20","96,70"
€нварь-июнь 2014 года,"86,50","88,70","97,40"
€нварь-март 2014 года,"86,80","89,60","96,40"
€нварь-декабрь 2013 года,"84,80","87,10","98,50"
€нварь-сент€брь 2013 года,"84,60","87,60","98,90"
€нварь-июнь 2013 года,"88,00","90,50","98,10"
€нварь-март 2013 года,"88,60","90,00","100,60"
