ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"93,00","118,00","99,60"
€нварь-июнь 2020 года,"91,70","115,60","99,50"
€нварь-март 2020 года,"79,50","111,60","101,10"
€нварь-декабрь 2019 года,"74,70",,"100,60"
€нварь-сент€брь 2019 года,"75,30","79,90","100,30"
€нварь-июнь 2019 года,"79,50","81,00","100,10"
€нварь-март 2019 года,"85,20","65,90","100,20"
€нварь-декабрь 2018 года,"112,20","163,50","105,30"
€нварь-сент€брь 2018 года,"112,30","117,50","99,30"
€нварь-июнь 2018 года,"108,70","117,70","99,00"
€нварь-март 2018 года,"115,20","98,80","98,60"
€нварь-декабрь 2017 года,"115,20","98,80","98,60"
€нварь-сент€брь 2017 года,"111,00","94,60","98,00"
€нварь-июнь 2017 года,"116,40","95,60","100,20"
€нварь-март 2017 года,"99,80","94,70","95,70"
€нварь-декабрь 2016 года,"96,80","100,60","95,70"
€нварь-сент€брь 2016 года,"89,70","97,80","95,60"
€нварь-июнь 2016 года,"86,70","94,40","94,29"
€нварь-март 2016 года,"82,40","94,00","98,40"
€нварь-декабрь 2015 года,"91,70","86,80","92,95"
€нварь-сент€брь 2015 года,"83,60","90,40","91,60"
€нварь-июнь 2015 года,"80,10","87,60","93,00"
€нварь-март 2015 года,"90,10","81,20","95,30"
€нварь-декабрь 2014 года,"93,40","95,20","95,50"
€нварь-сент€брь 2014 года,"98,10","90,20","96,70"
€нварь-июнь 2014 года,"95,70","88,70","97,40"
€нварь-март 2014 года,"92,80","89,60","96,40"
€нварь-декабрь 2013 года,"99,90","87,10","98,50"
€нварь-сент€брь 2013 года,"103,80","87,60","98,90"
€нварь-июнь 2013 года,"106,60","90,50","98,10"
€нварь-март 2013 года,"96,30","90,00","100,60"
