Период,Оренбургская область,Приволжский федеральный округ,Российская Федерация
январь-сентябрь 2020 года,"88,90","97,60","99,60"
январь-июнь 2020 года,"76,90","99,30","99,50"
январь-март 2020 года,"62,80","99,80","101,10"
январь-декабрь 2019 года,"119,70","101,60","100,60"
январь-сентябрь 2019 года,"103,20","101,50","100,30"
январь-июнь 2019 года,"94,80","95,90","100,10"
январь-март 2019 года,"91,30","88,30","100,20"
январь-декабрь 2018 года,"113,10","91,30","105,30"
январь-сентябрь 2018 года,"94,50","87,90","99,30"
январь-июнь 2018 года,"112,10","89,20","99,00"
январь-март 2018 года,"96,40","93,90","98,60"
январь-декабрь 2017 года,"96,40","93,90","98,60"
январь-сентябрь 2017 года,"98,00","92,10","98,00"
январь-июнь 2017 года,"90,40","89,50","100,20"
январь-март 2017 года,"100,60","88,50","95,70"
январь-декабрь 2016 года,"79,20","94,50","95,70"
январь-сентябрь 2016 года,"88,40","95,20","95,60"
январь-июнь 2016 года,"91,50","95,30","94,29"
январь-март 2016 года,"89,80","93,70","98,40"
январь-декабрь 2015 года,"93,10","95,40","92,95"
январь-сентябрь 2015 года,"91,40","93,80","91,60"
январь-июнь 2015 года,"93,30","93,50","93,00"
январь-март 2015 года,"88,30","92,50","95,30"
январь-декабрь 2014 года,"109,50","101,80","95,50"
январь-сентябрь 2014 года,"110,90","100,30","96,70"
январь-июнь 2014 года,"110,40","98,60","97,40"
январь-март 2014 года,"102,20","95,90","96,40"
январь-декабрь 2013 года,"94,20","101,20","98,50"
январь-сентябрь 2013 года,"94,60","102,00","98,90"
январь-июнь 2013 года,"92,30","105,50","98,10"
январь-март 2013 года,"101,40","103,00","100,60"
