ѕериод,ѕермский край,ѕриволжский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"102,50","97,60","99,60"
€нварь-июнь 2020 года,"109,10","99,30","99,50"
€нварь-март 2020 года,"111,00","99,80","101,10"
€нварь-декабрь 2019 года,"100,50","101,60","100,60"
€нварь-сент€брь 2019 года,"103,00","101,50","100,30"
€нварь-июнь 2019 года,"99,50","95,90","100,10"
€нварь-март 2019 года,"85,40","88,30","100,20"
€нварь-декабрь 2018 года,"91,10","91,30","105,30"
€нварь-сент€брь 2018 года,"93,60","87,90","99,30"
€нварь-июнь 2018 года,"87,80","89,20","99,00"
€нварь-март 2018 года,"93,30","93,90","98,60"
€нварь-декабрь 2017 года,"93,30","93,90","98,60"
€нварь-сент€брь 2017 года,"83,10","92,10","98,00"
€нварь-июнь 2017 года,"75,30","89,50","100,20"
€нварь-март 2017 года,"70,00","88,50","95,70"
€нварь-декабрь 2016 года,"86,20","94,50","95,70"
€нварь-сент€брь 2016 года,"89,00","95,20","95,60"
€нварь-июнь 2016 года,"94,60","95,30","94,29"
€нварь-март 2016 года,"76,30","93,70","98,40"
€нварь-декабрь 2015 года,"84,80","95,40","92,95"
€нварь-сент€брь 2015 года,"82,90","93,80","91,60"
€нварь-июнь 2015 года,"87,70","93,50","93,00"
€нварь-март 2015 года,"110,60","92,50","95,30"
€нварь-декабрь 2014 года,"105,30","101,80","95,50"
€нварь-сент€брь 2014 года,"97,90","100,30","96,70"
€нварь-июнь 2014 года,"93,30","98,60","97,40"
€нварь-март 2014 года,"72,20","95,90","96,40"
€нварь-декабрь 2013 года,"105,00","101,20","98,50"
€нварь-сент€брь 2013 года,"110,30","102,00","98,90"
€нварь-июнь 2013 года,"117,30","105,50","98,10"
€нварь-март 2013 года,"134,80","103,00","100,60"
