ѕериод,—вердловска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"106,20","118,00","99,60"
€нварь-июнь 2020 года,"101,30","115,60","99,50"
€нварь-март 2020 года,"98,20","111,60","101,10"
€нварь-декабрь 2019 года,"89,20",,"100,60"
€нварь-сент€брь 2019 года,"96,00","79,90","100,30"
€нварь-июнь 2019 года,"95,60","81,00","100,10"
€нварь-март 2019 года,"91,20","65,90","100,20"
€нварь-декабрь 2018 года,"113,10","163,50","105,30"
€нварь-сент€брь 2018 года,"119,50","117,50","99,30"
€нварь-июнь 2018 года,"119,90","117,70","99,00"
€нварь-март 2018 года,"81,10","98,80","98,60"
€нварь-декабрь 2017 года,"81,10","98,80","98,60"
€нварь-сент€брь 2017 года,"109,70","94,60","98,00"
€нварь-июнь 2017 года,"106,00","95,60","100,20"
€нварь-март 2017 года,"95,80","94,70","95,70"
€нварь-декабрь 2016 года,"106,40","100,60","95,70"
€нварь-сент€брь 2016 года,"100,70","97,80","95,60"
€нварь-июнь 2016 года,"98,00","94,40","94,29"
€нварь-март 2016 года,"91,10","94,00","98,40"
€нварь-декабрь 2015 года,"84,80","86,80","92,95"
€нварь-сент€брь 2015 года,"88,10","90,40","91,60"
€нварь-июнь 2015 года,"92,00","87,60","93,00"
€нварь-март 2015 года,"96,80","81,20","95,30"
€нварь-декабрь 2014 года,"95,60","95,20","95,50"
€нварь-сент€брь 2014 года,"92,30","90,20","96,70"
€нварь-июнь 2014 года,"94,20","88,70","97,40"
€нварь-март 2014 года,"102,50","89,60","96,40"
€нварь-декабрь 2013 года,"89,10","87,10","98,50"
€нварь-сент€брь 2013 года,"91,20","87,60","98,90"
€нварь-июнь 2013 года,"92,90","90,50","98,10"
€нварь-март 2013 года,"90,70","90,00","100,60"
