Период,Оренбургская область,Приволжский федеральный округ,Российская Федерация
январь-март 2020 года,"101,90","103,70","103,00"
январь-декабрь 2019 года,"102,10","104,30","104,00"
январь-сентябрь 2019 года,"93,54","103,98","105,10"
январь-июнь 2019 года,"93,52","102,82","101,20"
январь-март 2019 года,"92,80","102,06","101,10"
январь-декабрь 2018 года,"89,50","98,70","99,40"
январь-сентябрь 2018 года,"67,61","89,66","93,90"
январь-июнь 2018 года,"98,39","101,14","102,20"
январь-март 2018 года,"107,40","102,60","102,40"
январь-декабрь 2017 года,"107,40","102,60","102,40"
январь-сентябрь 2017 года,"114,27","105,06","103,80"
январь-июнь 2017 года,"95,08","100,43","100,20"
январь-март 2017 года,"96,95","100,20","100,70"
январь-декабрь 2016 года,"113,51","113,05","105,00"
январь-сентябрь 2016 года,"107,87","105,10","105,60"
январь-июнь 2016 года,"99,39","102,11","102,60"
январь-март 2016 года,"101,89","102,35","102,80"
январь-декабрь 2015 года,"100,50","101,60","103,00"
январь-сентябрь 2015 года,"94,76","100,00","102,20"
январь-июнь 2015 года,"99,07","101,80","102,90"
январь-март 2015 года,"99,02","101,57","103,50"
январь-декабрь 2014 года,"101,90","103,20","103,70"
январь-сентябрь 2014 года,"117,14","107,33","107,70"
январь-июнь 2014 года,"103,71","99,90","101,40"
январь-март 2014 года,"102,10","100,10","101,10"
январь-декабрь 2013 года,"108,70","104,20","105,80"
январь-сентябрь 2013 года,"91,90","99,10","102,30"
январь-июнь 2013 года,"96,80","98,50","101,10"
январь-март 2013 года,"98,30","98,70","101,40"
