Период,Республика Башкортостан,Приволжский федеральный округ,Российская Федерация
январь-март 2020 года,"105,40","103,70","103,00"
январь-декабрь 2019 года,"102,00","104,30","104,00"
январь-сентябрь 2019 года,"100,01","103,98","105,10"
январь-июнь 2019 года,"100,04","102,82","101,20"
январь-март 2019 года,"96,72","102,06","101,10"
январь-декабрь 2018 года,"99,10","98,70","99,40"
январь-сентябрь 2018 года,"95,06","89,66","93,90"
январь-июнь 2018 года,"98,78","101,14","102,20"
январь-март 2018 года,"102,80","102,60","102,40"
январь-декабрь 2017 года,"102,80","102,60","102,40"
январь-сентябрь 2017 года,"96,74","105,06","103,80"
январь-июнь 2017 года,"103,06","100,43","100,20"
январь-март 2017 года,"103,54","100,20","100,70"
январь-декабрь 2016 года,"107,08","113,05","105,00"
январь-сентябрь 2016 года,"98,15","105,10","105,60"
январь-июнь 2016 года,"101,41","102,11","102,60"
январь-март 2016 года,"101,08","102,35","102,80"
январь-декабрь 2015 года,"103,20","101,60","103,00"
январь-сентябрь 2015 года,"100,10","100,00","102,20"
январь-июнь 2015 года,"97,35","101,80","102,90"
январь-март 2015 года,"96,90","101,57","103,50"
январь-декабрь 2014 года,"101,10","103,20","103,70"
январь-сентябрь 2014 года,"96,55","107,33","107,70"
январь-июнь 2014 года,"101,63","99,90","101,40"
январь-март 2014 года,"101,60","100,10","101,10"
январь-декабрь 2013 года,"116,60","104,20","105,80"
январь-сентябрь 2013 года,"107,90","99,10","102,30"
январь-июнь 2013 года,"99,50","98,50","101,10"
январь-март 2013 года,"99,30","98,70","101,40"
