ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-март 2020 года,"99,50","102,00","103,00"
€нварь-декабрь 2019 года,"97,10","100,80","104,00"
€нварь-сент€брь 2019 года,"87,88","96,17","105,10"
€нварь-июнь 2019 года,"103,11","102,04","101,20"
€нварь-март 2019 года,"103,17","101,95","101,10"
€нварь-декабрь 2018 года,"96,80","99,40","99,40"
€нварь-сент€брь 2018 года,"93,70","91,78","93,90"
€нварь-июнь 2018 года,"98,20","100,73","102,20"
€нварь-март 2018 года,"102,50","102,70","102,40"
€нварь-декабрь 2017 года,"102,50","102,70","102,40"
€нварь-сент€брь 2017 года,"100,25","100,66","103,80"
€нварь-июнь 2017 года,"100,63","100,90","100,20"
€нварь-март 2017 года,"104,43","103,78","100,70"
€нварь-декабрь 2016 года,"89,79","93,93","105,00"
€нварь-сент€брь 2016 года,"108,68","106,30","105,60"
€нварь-июнь 2016 года,"104,69","101,39","102,60"
€нварь-март 2016 года,"103,43","101,32","102,80"
€нварь-декабрь 2015 года,"105,90","102,80","103,00"
€нварь-сент€брь 2015 года,"104,26","103,30","102,20"
€нварь-июнь 2015 года,"104,08","102,00","102,90"
€нварь-март 2015 года,"105,53","101,71","103,50"
€нварь-декабрь 2014 года,"104,00","100,50","103,70"
€нварь-сент€брь 2014 года,"105,93","101,03","107,70"
€нварь-июнь 2014 года,"103,72","102,00","101,40"
€нварь-март 2014 года,"102,00","102,00","101,10"
€нварь-декабрь 2013 года,"110,70","108,30","105,80"
€нварь-сент€брь 2013 года,"116,50","108,60","102,30"
€нварь-июнь 2013 года,"108,70","104,30","101,10"
€нварь-март 2013 года,"110,20","105,60","101,40"
