ѕериод,ѕермский край,ѕриволжский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"104,40","100,50","101,30"
€нварь-июнь 2020 года,"104,50","101,90","100,60"
€нварь-март 2020 года,"104,60","110,30","111,30"
€нварь-декабрь 2019 года,"102,00","101,50","108,80"
€нварь-сент€брь 2019 года,"95,40","99,20","98,20"
€нварь-июнь 2019 года,"93,60","98,30","94,20"
€нварь-март 2019 года,"95,00","100,50","91,70"
€нварь-декабрь 2018 года,"104,20","101,40","99,80"
€нварь-сент€брь 2018 года,"103,60","101,60","99,60"
€нварь-июнь 2018 года,"106,00","98,30","98,80"
€нварь-март 2018 года,"95,60","104,20","105,20"
€нварь-декабрь 2017 года,"95,60","104,20","105,20"
€нварь-сент€брь 2017 года,"95,20","105,50","105,40"
€нварь-июнь 2017 года,"94,70","107,50","106,20"
€нварь-март 2017 года,"97,10","112,60","101,90"
€нварь-декабрь 2016 года,"100,90","109,50","99,30"
€нварь-сент€брь 2016 года,"99,80","108,20","100,10"
€нварь-июнь 2016 года,"97,60","105,80","101,00"
€нварь-март 2016 года,"98,70","102,90","99,40"
€нварь-декабрь 2015 года,"84,70","84,10","92,00"
€нварь-сент€брь 2015 года,"84,30","89,00","90,50"
€нварь-июнь 2015 года,"82,50","90,60","91,10"
€нварь-март 2015 года,"81,10","90,50","92,70"
€нварь-декабрь 2014 года,"95,80","100,30","97,60"
€нварь-сент€брь 2014 года,"98,00","100,50","97,00"
€нварь-июнь 2014 года,"99,20","99,90","96,70"
€нварь-март 2014 года,"95,00","103,10","99,30"
€нварь-декабрь 2013 года,"97,60","107,60","102,20"
€нварь-сент€брь 2013 года,"96,00","106,20","101,20"
€нварь-июнь 2013 года,"95,80","106,40","102,40"
€нварь-март 2013 года,"93,90","102,70","103,00"
