ѕериод,—вердловска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"105,60","93,70","101,30"
€нварь-июнь 2020 года,"102,40","91,50","100,60"
€нварь-март 2020 года,"108,60","97,90","111,30"
€нварь-декабрь 2019 года,"94,00","95,10","108,80"
€нварь-сент€брь 2019 года,"82,70","84,50","98,20"
€нварь-июнь 2019 года,"82,90","84,90","94,20"
€нварь-март 2019 года,"88,30","88,10","91,70"
€нварь-декабрь 2018 года,"101,60","96,10","99,80"
€нварь-сент€брь 2018 года,"101,80","96,60","99,60"
€нварь-июнь 2018 года,"99,00","94,40","98,80"
€нварь-март 2018 года,"101,60","105,10","105,20"
€нварь-декабрь 2017 года,"101,60","105,10","105,20"
€нварь-сент€брь 2017 года,"101,40","105,70","105,40"
€нварь-июнь 2017 года,"99,40","106,70","106,20"
€нварь-март 2017 года,"99,30","105,40","101,90"
€нварь-декабрь 2016 года,"99,30","93,70","99,30"
€нварь-сент€брь 2016 года,"100,80","94,00","100,10"
€нварь-июнь 2016 года,"102,40","97,40","101,00"
€нварь-март 2016 года,"98,20","88,40","99,40"
€нварь-декабрь 2015 года,"83,90","84,30","92,00"
€нварь-сент€брь 2015 года,"97,30","93,00","90,50"
€нварь-июнь 2015 года,"94,20","93,00","91,10"
€нварь-март 2015 года,"95,40","96,20","92,70"
€нварь-декабрь 2014 года,"101,80","98,50","97,60"
€нварь-сент€брь 2014 года,"104,10","100,30","97,00"
€нварь-июнь 2014 года,"105,10","102,30","96,70"
€нварь-март 2014 года,"105,10","101,70","99,30"
€нварь-декабрь 2013 года,"105,00","110,20","102,20"
€нварь-сент€брь 2013 года,"105,70","109,90","101,20"
€нварь-июнь 2013 года,"100,20","106,60","102,40"
€нварь-март 2013 года,"99,10","103,20","103,00"
