ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"99,90","93,70","101,30"
€нварь-июнь 2020 года,"101,20","91,50","100,60"
€нварь-март 2020 года,"117,00","97,90","111,30"
€нварь-декабрь 2019 года,"99,20","95,10","108,80"
€нварь-сент€брь 2019 года,"87,80","84,50","98,20"
€нварь-июнь 2019 года,"87,20","84,90","94,20"
€нварь-март 2019 года,"89,10","88,10","91,70"
€нварь-декабрь 2018 года,"86,00","96,10","99,80"
€нварь-сент€брь 2018 года,"85,20","96,60","99,60"
€нварь-июнь 2018 года,"82,60","94,40","98,80"
€нварь-март 2018 года,"114,10","105,10","105,20"
€нварь-декабрь 2017 года,"114,10","105,10","105,20"
€нварь-сент€брь 2017 года,"116,10","105,70","105,40"
€нварь-июнь 2017 года,"119,40","106,70","106,20"
€нварь-март 2017 года,"117,70","105,40","101,90"
€нварь-декабрь 2016 года,"88,30","93,70","99,30"
€нварь-сент€брь 2016 года,"86,80","94,00","100,10"
€нварь-июнь 2016 года,"87,80","97,40","101,00"
€нварь-март 2016 года,"82,70","88,40","99,40"
€нварь-декабрь 2015 года,"84,20","84,30","92,00"
€нварь-сент€брь 2015 года,"90,20","93,00","90,50"
€нварь-июнь 2015 года,"93,30","93,00","91,10"
€нварь-март 2015 года,"95,00","96,20","92,70"
€нварь-декабрь 2014 года,"120,30","98,50","97,60"
€нварь-сент€брь 2014 года,"125,30","100,30","97,00"
€нварь-июнь 2014 года,"130,50","102,30","96,70"
€нварь-март 2014 года,"123,50","101,70","99,30"
€нварь-декабрь 2013 года,"115,70","110,20","102,20"
€нварь-сент€брь 2013 года,"115,30","109,90","101,20"
€нварь-июнь 2013 года,"114,60","106,60","102,40"
€нварь-март 2013 года,"109,10","103,20","103,00"
