Период,Оренбургская область,Приволжский федеральный округ,Российская Федерация
январь-сентябрь 2020 года,"97,20","94,80","95,20"
январь-июнь 2020 года,"97,60","94,00","93,60"
январь-март 2020 года,"104,10","104,60","104,30"
январь-декабрь 2019 года,"101,00","101,60","101,90"
январь-сентябрь 2019 года,"102,30","101,10","101,40"
январь-июнь 2019 года,"102,40","101,80","101,70"
январь-март 2019 года,"102,30","102,30","101,80"
январь-декабрь 2018 года,"102,90","103,90","102,60"
январь-сентябрь 2018 года,"102,30","104,10","102,60"
январь-июнь 2018 года,"102,20","104,10","102,60"
январь-март 2018 года,"104,20","101,80","101,20"
январь-декабрь 2017 года,"104,20","101,80","101,20"
январь-сентябрь 2017 года,"103,10","101,10","100,50"
январь-июнь 2017 года,"100,90","100,20","99,50"
январь-март 2017 года,"98,30","99,60","98,20"
январь-декабрь 2016 года,"93,90","95,80","94,80"
январь-сентябрь 2016 года,"96,60","96,30","94,60"
январь-июнь 2016 года,"99,80","96,70","94,30"
январь-март 2016 года,"100,80","97,10","94,60"
январь-декабрь 2015 года,"89,90","87,20","90,00"
январь-сентябрь 2015 года,"90,00","87,70","91,50"
январь-июнь 2015 года,"90,50","87,70","92,00"
январь-март 2015 года,"96,80","89,80","93,30"
январь-декабрь 2014 года,"104,50","103,20","102,50"
январь-сентябрь 2014 года,"103,80","102,80","102,30"
январь-июнь 2014 года,"103,90","103,20","102,70"
январь-март 2014 года,"103,60","104,50","103,60"
январь-декабрь 2013 года,"106,90","105,80","103,90"
январь-сентябрь 2013 года,"107,20","105,90","103,90"
январь-июнь 2013 года,"108,30","105,80","103,90"
январь-март 2013 года,"106,80","106,30","104,00"
