ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"98,10","96,30","95,20"
€нварь-июнь 2020 года,"96,90","96,10","93,60"
€нварь-март 2020 года,"104,00","104,00","104,30"
€нварь-декабрь 2019 года,"98,80","100,90","101,90"
€нварь-сент€брь 2019 года,"102,10","101,40","101,40"
€нварь-июнь 2019 года,"102,70","101,70","101,70"
€нварь-март 2019 года,"102,70","102,40","101,80"
€нварь-декабрь 2018 года,"105,10","103,50","102,60"
€нварь-сент€брь 2018 года,"106,20","103,90","102,60"
€нварь-июнь 2018 года,"107,20","104,20","102,60"
€нварь-март 2018 года,"101,90","99,50","101,20"
€нварь-декабрь 2017 года,"101,90","99,50","101,20"
€нварь-сент€брь 2017 года,"100,20","97,50","100,50"
€нварь-июнь 2017 года,"99,50","96,60","99,50"
€нварь-март 2017 года,"95,30","94,40","98,20"
€нварь-декабрь 2016 года,"92,50","92,70","94,80"
€нварь-сент€брь 2016 года,"93,00","93,10","94,60"
€нварь-июнь 2016 года,"93,70","93,00","94,30"
€нварь-март 2016 года,"93,20","92,40","94,60"
€нварь-декабрь 2015 года,"90,80","88,10","90,00"
€нварь-сент€брь 2015 года,"91,70","89,60","91,50"
€нварь-июнь 2015 года,"92,30","89,80","92,00"
€нварь-март 2015 года,"94,80","91,60","93,30"
€нварь-декабрь 2014 года,"100,90","99,00","102,50"
€нварь-сент€брь 2014 года,"101,60","98,80","102,30"
€нварь-июнь 2014 года,"102,60","99,80","102,70"
€нварь-март 2014 года,"103,30","100,80","103,60"
€нварь-декабрь 2013 года,"107,80","105,30","103,90"
€нварь-сент€брь 2013 года,"108,00","105,60","103,90"
€нварь-июнь 2013 года,"109,50","106,00","103,90"
€нварь-март 2013 года,"109,80","105,80","104,00"
