Период,Оренбургская область,Приволжский федеральный округ,Российская Федерация
январь-декабрь 2018 года,"112,30","116,90","125,60"
январь-сентябрь 2018 года,"114,10","116,70","128,00"
январь-июнь 2018 года,"116,20","111,90","126,70"
январь-март 2018 года,"114,00","117,30","125,20"
январь-декабрь 2017 года,"114,00","117,30","125,20"
январь-июнь 2017 года,"107,50","122,00","129,40"
январь-декабрь 2016 года,"87,30","74,60","83,20"
январь-сентябрь 2016 года,"88,30","68,60","77,30"
январь-сентябрь 2015 года,"74,80","64,80","68,40"
январь-июнь 2015 года,"77,60","68,80","71,10"
январь-март 2015 года,"95,20","73,80","73,70"
январь-декабрь 2014 года,"88,80","92,30","94,40"
январь-сентябрь 2014 года,"94,20","97,50","98,80"
январь-декабрь 2013 года,"94,10","98,10","100,50"
январь-сентябрь 2013 года,"91,60","97,90","102,20"
январь-июнь 2013 года,"101,80","101,60","97,60"
январь-март 2013 года,"110,70","97,30","95,30"
