Период,Республика Башкортостан,Приволжский федеральный округ,Российская Федерация
январь-декабрь 2018 года,"102,00","116,90","125,60"
январь-сентябрь 2018 года,"108,40","116,70","128,00"
январь-июнь 2018 года,"105,10","111,90","126,70"
январь-март 2018 года,"74,70","117,30","125,20"
январь-декабрь 2017 года,"74,70","117,30","125,20"
январь-июнь 2017 года,"77,60","122,00","129,40"
январь-декабрь 2016 года,"76,00","74,60","83,20"
январь-сентябрь 2016 года,"71,90","68,60","77,30"
январь-сентябрь 2015 года,"54,10","64,80","68,40"
январь-июнь 2015 года,"56,60","68,80","71,10"
январь-март 2015 года,"58,90","73,80","73,70"
январь-декабрь 2014 года,"93,60","92,30","94,40"
январь-сентябрь 2014 года,"99,60","97,50","98,80"
январь-декабрь 2013 года,"108,70","98,10","100,50"
январь-сентябрь 2013 года,"94,60","97,90","102,20"
январь-июнь 2013 года,"97,40","101,60","97,60"
январь-март 2013 года,"94,60","97,30","95,30"
