ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-декабрь 2018 года,"135,60","128,60","125,60"
€нварь-сент€брь 2018 года,"138,00","131,40","128,00"
€нварь-июнь 2018 года,"138,40","134,10","126,70"
€нварь-март 2018 года,"126,20","118,10","125,20"
€нварь-декабрь 2017 года,"126,20","118,10","125,20"
€нварь-июнь 2017 года,"143,90","129,80","129,40"
€нварь-декабрь 2016 года,"102,50","98,60","83,20"
€нварь-сент€брь 2016 года,"89,90","91,00","77,30"
€нварь-сент€брь 2015 года,"61,10","68,40","68,40"
€нварь-июнь 2015 года,"63,50","69,90","71,10"
€нварь-март 2015 года,"55,50","63,80","73,70"
€нварь-декабрь 2014 года,"47,90","59,00","94,40"
€нварь-сент€брь 2014 года,"46,00","56,30","98,80"
€нварь-декабрь 2013 года,"79,80","80,90","100,50"
€нварь-сент€брь 2013 года,"82,10","83,20","102,20"
€нварь-июнь 2013 года,"84,00","85,60","97,60"
€нварь-март 2013 года,"87,20","87,80","95,30"
