ѕериод,—вердловска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-декабрь 2018 года,"121,50","68,10","106,70"
€нварь-сент€брь 2018 года,"129,10","70,10","107,90"
€нварь-июнь 2018 года,"137,10","90,20","113,60"
€нварь-март 2018 года,"170,60","100,40","120,60"
€нварь-декабрь 2017 года,"145,10","128,60","124,70"
€нварь-июнь 2017 года,"132,80","158,90","127,40"
€нварь-декабрь 2016 года,"83,00","152,80","99,80"
€нварь-сент€брь 2016 года,"84,10","149,30","96,60"
€нварь-сент€брь 2015 года,"75,10","68,20","61,70"
€нварь-июнь 2015 года,"75,60","63,70","61,00"
€нварь-март 2015 года,"75,00","58,20","62,80"
€нварь-декабрь 2014 года,"88,60","83,20","91,03"
€нварь-сент€брь 2014 года,"96,00","90,60","94,50"
€нварь-декабрь 2013 года,"103,20","98,40","100,30"
€нварь-сент€брь 2013 года,"102,00","97,10","102,20"
€нварь-июнь 2013 года,"93,80","92,80","104,20"
€нварь-март 2013 года,"96,30","88,30","104,70"
