ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"96,90","97,50","97,10"
€нварь-август 2020 года,"96,00","97,60","95,50"
€нварь-июль 2020 года,"97,20","97,80","95,80"
€нварь-июнь 2020 года,"97,90","90,20","90,60"
€нварь-май 2020 года,"91,00","90,60","90,40"
€нварь-апрель 2020 года,"97,40","103,10","99,40"
€нварь-март 2020 года,"97,00","100,80","100,30"
€нварь-февраль 2020 года,"99,70","104,80","102,20"
€нварь 2020 года,"99,50","102,90","101,10"
€нварь-декабрь 2019 года,"102,00","104,20","102,40"
€нварь-но€брь 2019 года,"102,40","103,50","102,40"
€нварь-окт€брь 2019 года,"102,40","103,40","102,70"
€нварь-сент€брь 2019 года,"101,80","104,10","102,70"
€нварь-август 2019 года,"100,40","101,80","102,50"
€нварь-июль 2019 года,"100,40","104,80","102,60"
€нварь-июнь 2019 года,"98,70","104,40","102,60"
€нварь-май 2019 года,"100,40","106,50","100,90"
€нварь-апрель 2019 года,"97,60","104,50","102,80"
€нварь-март 2019 года,"95,90","103,60","102,10"
€нварь-февраль 2019 года,"94,80","102,20","102,60"
€нварь 2019 года,"94,70","101,50","101,10"
€нварь-декабрь 2018 года,"100,10","106,40","102,90"
€нварь-но€брь 2018 года,"99,60","106,10","102,90"
€нварь-окт€брь 2018 года,"99,80","106,00","103,00"
€нварь-сент€брь 2018 года,"100,50","105,80","103,00"
€нварь-август 2018 года,"101,10","105,70","103,10"
€нварь-июль 2018 года,"101,10","105,70","103,10"
€нварь-июнь 2018 года,"103,10","104,80","103,00"
€нварь-май 2018 года,"103,40","105,40","103,20"
€нварь-апрель 2018 года,"104,60","105,90","103,10"
€нварь-март 2018 года,"105,30","102,00","101,00"
€нварь-февраль 2018 года,"105,50","103,50","101,50"
€нварь 2018 года,"114,90","107,10","102,90"
€нварь-декабрь 2017 года,"105,30","102,00","101,00"
€нварь-но€брь 2017 года,"105,40","102,40","101,20"
€нварь-окт€брь 2017 года,"104,80","102,80","101,60"
€нварь-сент€брь 2017 года,"104,80","103,40","101,80"
€нварь-август 2017 года,"104,80","103,40","101,90"
€нварь-июль 2017 года,"104,50","103,20","101,90"
€нварь-июнь 2017 года,"103,50","103,30","102,00"
€нварь-май 2017 года,"101,50","103,20","101,70"
€нварь-апрель 2017 года,"100,80","103,40","100,70"
€нварь-март 2017 года,"100,10","102,00","100,10"
€нварь-февраль 2017 года,"101,70","102,70","99,70"
€нварь 2017 года,"104,40","102,90","102,30"
€нварь-декабрь 2016 года,"96,30","101,60","101,10"
€нварь-но€брь 2016 года,"96,30","101,80","100,80"
€нварь-окт€брь 2016 года,"95,90","101,80","100,30"
€нварь-сент€брь 2016 года,"95,30","101,90","100,30"
€нварь-август 2016 года,"94,70","101,60","100,40"
€нварь-июль 2016 года,"94,40","101,80","100,30"
€нварь-июнь 2016 года,"95,10","102,00","100,40"
€нварь-май 2016 года,"94,90","102,00","100,10"
€нварь-апрель 2016 года,"93,10","102,70","99,90"
€нварь-март 2016 года,"93,40","103,80","99,40"
€нварь-февраль 2016 года,"94,10","102,80","99,30"
€нварь 2016 года,"89,00","100,30","97,30"
€нварь-декабрь 2015 года,"98,00","98,20","96,60"
€нварь-но€брь 2015 года,"98,50","97,90","96,70"
€нварь-окт€брь 2015 года,"98,80","98,00","96,70"
€нварь-сент€брь 2015 года,"99,40","98,00","96,80"
€нварь-август 2015 года,"100,30","98,90","96,80"
€нварь-июль 2015 года,"100,80","99,40","97,00"
€нварь-июнь 2015 года,"101,50","98,50","97,30"
€нварь-май 2015 года,"103,00","99,30","97,70"
€нварь-апрель 2015 года,"105,30","99,90","98,50"
€нварь-март 2015 года,"106,30","100,60","99,60"
€нварь-февраль 2015 года,"105,20","100,50","99,60"
€нварь 2015 года,"111,40","100,70","100,90"
€нварь-декабрь 2014 года,"103,90","100,10","101,70"
€нварь-но€брь 2014 года,"102,30","99,30","101,50"
€нварь-окт€брь 2014 года,"102,30","99,30","101,70"
€нварь-сент€брь 2014 года,"102,40","99,40","101,50"
€нварь-август 2014 года,"101,90","99,10","101,30"
€нварь-июль 2014 года,"101,80","98,70","101,50"
€нварь-июнь 2014 года,"101,30","99,10","101,50"
€нварь-май 2014 года,"101,40","98,80","101,70"
€нварь-апрель 2014 года,"100,20","98,00","101,40"
€нварь-март 2014 года,"100,00","97,00","101,10"
€нварь-февраль 2014 года,"99,00","96,80","100,90"
€нварь 2014 года,"96,40","98,90","99,80"
€нварь-декабрь 2013 года,"99,90","100,80","100,40"
€нварь-но€брь 2013 года,"100,00","101,10","100,40"
€нварь-окт€брь 2013 года,"99,60","101,10","100,20"
€нварь-сент€брь 2013 года,"99,60","100,90","100,10"
€нварь-август 2013 года,"99,80","101,00","99,90"
€нварь-июль 2013 года,"99,50","101,20","99,90"
€нварь-июнь 2013 года,"99,70","101,40","99,80"
€нварь-май 2013 года,"98,90","101,40","99,40"
€нварь-апрель 2013 года,"99,10","101,70","99,40"
€нварь-март 2013 года,"99,10","102,10","98,80"
€нварь-февраль 2013 года,"101,50","102,00","98,20"
€нварь 2013 года,"99,80","101,60","99,60"
