ѕериод,—вердловска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-март 2020 года,"107,30","102,00","103,00"
€нварь-декабрь 2019 года,"104,80","100,80","104,00"
€нварь-сент€брь 2019 года,"96,14","96,17","105,10"
€нварь-июнь 2019 года,"100,62","102,04","101,20"
€нварь-март 2019 года,"98,74","101,95","101,10"
€нварь-декабрь 2018 года,"105,30","99,40","99,40"
€нварь-сент€брь 2018 года,"93,11","91,78","93,90"
€нварь-июнь 2018 года,"103,27","100,73","102,20"
€нварь-март 2018 года,"100,10","102,70","102,40"
€нварь-декабрь 2017 года,"100,10","102,70","102,40"
€нварь-сент€брь 2017 года,"98,60","100,66","103,80"
€нварь-июнь 2017 года,"98,54","100,90","100,20"
€нварь-март 2017 года,"101,84","103,78","100,70"
€нварь-декабрь 2016 года,"103,60","93,93","105,00"
€нварь-сент€брь 2016 года,"97,40","106,30","105,60"
€нварь-июнь 2016 года,"101,36","101,39","102,60"
€нварь-март 2016 года,"104,79","101,32","102,80"
€нварь-декабрь 2015 года,"100,80","102,80","103,00"
€нварь-сент€брь 2015 года,"102,30","103,30","102,20"
€нварь-июнь 2015 года,"104,35","102,00","102,90"
€нварь-март 2015 года,"101,35","101,71","103,50"
€нварь-декабрь 2014 года,"100,30","100,50","103,70"
€нварь-сент€брь 2014 года,"102,88","101,03","107,70"
€нварь-июнь 2014 года,"101,66","102,00","101,40"
€нварь-март 2014 года,"105,00","102,00","101,10"
€нварь-декабрь 2013 года,"109,00","108,30","105,80"
€нварь-сент€брь 2013 года,"109,60","108,60","102,30"
€нварь-июнь 2013 года,"103,20","104,30","101,10"
€нварь-март 2013 года,"103,70","105,60","101,40"
