ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-март 2020 года,"101,80","102,00","103,00"
€нварь-декабрь 2019 года,"101,90","100,80","104,00"
€нварь-сент€брь 2019 года,"108,19","96,17","105,10"
€нварь-июнь 2019 года,"103,42","102,04","101,20"
€нварь-март 2019 года,"103,83","101,95","101,10"
€нварь-декабрь 2018 года,"100,10","99,40","99,40"
€нварь-сент€брь 2018 года,"93,36","91,78","93,90"
€нварь-июнь 2018 года,"102,65","100,73","102,20"
€нварь-март 2018 года,"103,80","102,70","102,40"
€нварь-декабрь 2017 года,"103,80","102,70","102,40"
€нварь-сент€брь 2017 года,"103,85","100,66","103,80"
€нварь-июнь 2017 года,"105,16","100,90","100,20"
€нварь-март 2017 года,"105,59","103,78","100,70"
€нварь-декабрь 2016 года,"100,03","93,93","105,00"
€нварь-сент€брь 2016 года,"101,85","106,30","105,60"
€нварь-июнь 2016 года,"98,02","101,39","102,60"
€нварь-март 2016 года,"97,07","101,32","102,80"
€нварь-декабрь 2015 года,"98,50","102,80","103,00"
€нварь-сент€брь 2015 года,"102,50","103,30","102,20"
€нварь-июнь 2015 года,"100,99","102,00","102,90"
€нварь-март 2015 года,"100,42","101,71","103,50"
€нварь-декабрь 2014 года,"100,00","100,50","103,70"
€нварь-сент€брь 2014 года,"96,38","101,03","107,70"
€нварь-июнь 2014 года,"100,01","102,00","101,40"
€нварь-март 2014 года,"98,40","102,00","101,10"
€нварь-декабрь 2013 года,"100,40","108,30","105,80"
€нварь-сент€брь 2013 года,"99,90","108,60","102,30"
€нварь-июнь 2013 года,"100,80","104,30","101,10"
€нварь-март 2013 года,"102,50","105,60","101,40"
