Период,Оренбургская область,Приволжский федеральный округ,Российская Федерация
январь-сентябрь 2020 года,"96,30","100,50","101,30"
январь-июнь 2020 года,"111,30","101,90","100,60"
январь-март 2020 года,"114,00","110,30","111,30"
январь-декабрь 2019 года,"101,20","101,50","108,80"
январь-сентябрь 2019 года,"105,30","99,20","98,20"
январь-июнь 2019 года,"102,40","98,30","94,20"
январь-март 2019 года,"102,80","100,50","91,70"
январь-декабрь 2018 года,"110,50","101,40","99,80"
январь-сентябрь 2018 года,"102,10","101,60","99,60"
январь-июнь 2018 года,"109,40","98,30","98,80"
январь-март 2018 года,"102,90","104,20","105,20"
январь-декабрь 2017 года,"102,90","104,20","105,20"
январь-сентябрь 2017 года,"111,00","105,50","105,40"
январь-июнь 2017 года,"111,50","107,50","106,20"
январь-март 2017 года,"113,70","112,60","101,90"
январь-декабрь 2016 года,"113,60","109,50","99,30"
январь-сентябрь 2016 года,"114,50","108,20","100,10"
январь-июнь 2016 года,"112,00","105,80","101,00"
январь-март 2016 года,"104,40","102,90","99,40"
январь-декабрь 2015 года,"91,50","84,10","92,00"
январь-сентябрь 2015 года,"94,70","89,00","90,50"
январь-июнь 2015 года,"97,50","90,60","91,10"
январь-март 2015 года,"88,70","90,50","92,70"
январь-декабрь 2014 года,"99,40","100,30","97,60"
январь-сентябрь 2014 года,"98,60","100,50","97,00"
январь-июнь 2014 года,"98,10","99,90","96,70"
январь-март 2014 года,"93,30","103,10","99,30"
январь-декабрь 2013 года,"105,60","107,60","102,20"
январь-сентябрь 2013 года,"108,30","106,20","101,20"
январь-июнь 2013 года,"103,50","106,40","102,40"
январь-март 2013 года,"104,40","102,70","103,00"
