ѕериод,–еспублика Ѕашкортостан,ѕриволжский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"91,80","100,50","101,30"
€нварь-июнь 2020 года,"92,00","101,90","100,60"
€нварь-март 2020 года,"103,30","110,30","111,30"
€нварь-декабрь 2019 года,"105,20","101,50","108,80"
€нварь-сент€брь 2019 года,"112,50","99,20","98,20"
€нварь-июнь 2019 года,"104,40","98,30","94,20"
€нварь-март 2019 года,"108,10","100,50","91,70"
€нварь-декабрь 2018 года,"102,70","101,40","99,80"
€нварь-сент€брь 2018 года,"103,80","101,60","99,60"
€нварь-июнь 2018 года,"106,50","98,30","98,80"
€нварь-март 2018 года,"100,70","104,20","105,20"
€нварь-декабрь 2017 года,"100,70","104,20","105,20"
€нварь-сент€брь 2017 года,"101,60","105,50","105,40"
€нварь-июнь 2017 года,"101,40","107,50","106,20"
€нварь-март 2017 года,"101,20","112,60","101,90"
€нварь-декабрь 2016 года,"119,50","109,50","99,30"
€нварь-сент€брь 2016 года,"124,60","108,20","100,10"
€нварь-июнь 2016 года,"113,20","105,80","101,00"
€нварь-март 2016 года,"106,70","102,90","99,40"
€нварь-декабрь 2015 года,"94,40","84,10","92,00"
€нварь-сент€брь 2015 года,"71,60","89,00","90,50"
€нварь-июнь 2015 года,"72,90","90,60","91,10"
€нварь-март 2015 года,"76,00","90,50","92,70"
€нварь-декабрь 2014 года,"94,90","100,30","97,60"
€нварь-сент€брь 2014 года,"100,50","100,50","97,00"
€нварь-июнь 2014 года,"100,00","99,90","96,70"
€нварь-март 2014 года,"101,30","103,10","99,30"
€нварь-декабрь 2013 года,"97,10","107,60","102,20"
€нварь-сент€брь 2013 года,"98,70","106,20","101,20"
€нварь-июнь 2013 года,"103,90","106,40","102,40"
€нварь-март 2013 года,"101,10","102,70","103,00"
