ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"64,20","93,70","101,30"
€нварь-июнь 2020 года,"62,40","91,50","100,60"
€нварь-март 2020 года,"64,60","97,90","111,30"
€нварь-декабрь 2019 года,"94,60","95,10","108,80"
€нварь-сент€брь 2019 года,"84,50","84,50","98,20"
€нварь-июнь 2019 года,"85,90","84,90","94,20"
€нварь-март 2019 года,"87,50","88,10","91,70"
€нварь-декабрь 2018 года,"98,80","96,10","99,80"
€нварь-сент€брь 2018 года,"102,00","96,60","99,60"
€нварь-июнь 2018 года,"101,00","94,40","98,80"
€нварь-март 2018 года,"101,80","105,10","105,20"
€нварь-декабрь 2017 года,"101,80","105,10","105,20"
€нварь-сент€брь 2017 года,"102,30","105,70","105,40"
€нварь-июнь 2017 года,"106,10","106,70","106,20"
€нварь-март 2017 года,"102,90","105,40","101,90"
€нварь-декабрь 2016 года,"88,90","93,70","99,30"
€нварь-сент€брь 2016 года,"88,80","94,00","100,10"
€нварь-июнь 2016 года,"96,70","97,40","101,00"
€нварь-март 2016 года,"80,10","88,40","99,40"
€нварь-декабрь 2015 года,"87,40","84,30","92,00"
€нварь-сент€брь 2015 года,"89,30","93,00","90,50"
€нварь-июнь 2015 года,"90,90","93,00","91,10"
€нварь-март 2015 года,"98,00","96,20","92,70"
€нварь-декабрь 2014 года,"84,90","98,50","97,60"
€нварь-сент€брь 2014 года,"85,10","100,30","97,00"
€нварь-июнь 2014 года,"87,40","102,30","96,70"
€нварь-март 2014 года,"88,60","101,70","99,30"
€нварь-декабрь 2013 года,"114,00","110,20","102,20"
€нварь-сент€брь 2013 года,"112,40","109,90","101,20"
€нварь-июнь 2013 года,"110,40","106,60","102,40"
€нварь-март 2013 года,"105,20","103,20","103,00"
