ѕериод,ѕермский край,ѕриволжский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"93,80","94,80","95,20"
€нварь-июнь 2020 года,"92,50","94,00","93,60"
€нварь-март 2020 года,"104,70","104,60","104,30"
€нварь-декабрь 2019 года,"100,10","101,60","101,90"
€нварь-сент€брь 2019 года,"100,70","101,10","101,40"
€нварь-июнь 2019 года,"101,30","101,80","101,70"
€нварь-март 2019 года,"101,00","102,30","101,80"
€нварь-декабрь 2018 года,"105,80","103,90","102,60"
€нварь-сент€брь 2018 года,"105,60","104,10","102,60"
€нварь-июнь 2018 года,"105,10","104,10","102,60"
€нварь-март 2018 года,"101,10","101,80","101,20"
€нварь-декабрь 2017 года,"101,10","101,80","101,20"
€нварь-сент€брь 2017 года,"99,90","101,10","100,50"
€нварь-июнь 2017 года,"96,20","100,20","99,50"
€нварь-март 2017 года,"95,70","99,60","98,20"
€нварь-декабрь 2016 года,"92,50","95,80","94,80"
€нварь-сент€брь 2016 года,"91,90","96,30","94,60"
€нварь-июнь 2016 года,"91,10","96,70","94,30"
€нварь-март 2016 года,"92,40","97,10","94,60"
€нварь-декабрь 2015 года,"86,70","87,20","90,00"
€нварь-сент€брь 2015 года,"88,20","87,70","91,50"
€нварь-июнь 2015 года,"89,70","87,70","92,00"
€нварь-март 2015 года,"90,40","89,80","93,30"
€нварь-декабрь 2014 года,"100,20","103,20","102,50"
€нварь-сент€брь 2014 года,"100,20","102,80","102,30"
€нварь-июнь 2014 года,"101,00","103,20","102,70"
€нварь-март 2014 года,"102,10","104,50","103,60"
€нварь-декабрь 2013 года,"105,60","105,80","103,90"
€нварь-сент€брь 2013 года,"105,80","105,90","103,90"
€нварь-июнь 2013 года,"105,00","105,80","103,90"
€нварь-март 2013 года,"104,00","106,30","104,00"
