ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-сент€брь 2020 года,"100,50","96,30","95,20"
€нварь-июнь 2020 года,"100,00","96,10","93,60"
€нварь-март 2020 года,"107,40","104,00","104,30"
€нварь-декабрь 2019 года,"103,30","100,90","101,90"
€нварь-сент€брь 2019 года,"100,40","101,40","101,40"
€нварь-июнь 2019 года,"99,40","101,70","101,70"
€нварь-март 2019 года,"103,30","102,40","101,80"
€нварь-декабрь 2018 года,"103,70","103,50","102,60"
€нварь-сент€брь 2018 года,"104,50","103,90","102,60"
€нварь-июнь 2018 года,"104,40","104,20","102,60"
€нварь-март 2018 года,"97,30","99,50","101,20"
€нварь-декабрь 2017 года,"97,30","99,50","101,20"
€нварь-сент€брь 2017 года,"95,40","97,50","100,50"
€нварь-июнь 2017 года,"92,80","96,60","99,50"
€нварь-март 2017 года,"89,40","94,40","98,20"
€нварь-декабрь 2016 года,"89,50","92,70","94,80"
€нварь-сент€брь 2016 года,"90,20","93,10","94,60"
€нварь-июнь 2016 года,"89,10","93,00","94,30"
€нварь-март 2016 года,"87,60","92,40","94,60"
€нварь-декабрь 2015 года,"82,70","88,10","90,00"
€нварь-сент€брь 2015 года,"85,50","89,60","91,50"
€нварь-июнь 2015 года,"86,00","89,80","92,00"
€нварь-март 2015 года,"87,40","91,60","93,30"
€нварь-декабрь 2014 года,"99,50","99,00","102,50"
€нварь-сент€брь 2014 года,"97,50","98,80","102,30"
€нварь-июнь 2014 года,"98,20","99,80","102,70"
€нварь-март 2014 года,"101,70","100,80","103,60"
€нварь-декабрь 2013 года,"104,10","105,30","103,90"
€нварь-сент€брь 2013 года,"103,80","105,60","103,90"
€нварь-июнь 2013 года,"102,40","106,00","103,90"
€нварь-март 2013 года,"100,30","105,80","104,00"
