Период,Пермский край,Приволжский федеральный округ,Российская Федерация
январь-декабрь 2018 года,"108,10","116,90","125,60"
январь-сентябрь 2018 года,"109,40","116,70","128,00"
январь-июнь 2018 года,"106,30","111,90","126,70"
январь-март 2018 года,"119,10","117,30","125,20"
январь-декабрь 2017 года,"119,10","117,30","125,20"
январь-июнь 2017 года,"105,90","122,00","129,40"
январь-декабрь 2016 года,"65,80","74,60","83,20"
январь-сентябрь 2016 года,"62,00","68,60","77,30"
январь-сентябрь 2015 года,"84,50","64,80","68,40"
январь-июнь 2015 года,"90,90","68,80","71,10"
январь-март 2015 года,"106,40","73,80","73,70"
январь-декабрь 2014 года,"107,90","92,30","94,40"
январь-сентябрь 2014 года,"107,10","97,50","98,80"
январь-декабрь 2013 года,"84,90","98,10","100,50"
январь-сентябрь 2013 года,"92,20","97,90","102,20"
январь-июнь 2013 года,"94,00","101,60","97,60"
январь-март 2013 года,"86,30","97,30","95,30"
