ѕериод,—вердловска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-декабрь 2018 года,"123,60","128,60","125,60"
€нварь-сент€брь 2018 года,"126,60","131,40","128,00"
€нварь-июнь 2018 года,"137,90","134,10","126,70"
€нварь-март 2018 года,"97,20","118,10","125,20"
€нварь-декабрь 2017 года,"97,20","118,10","125,20"
€нварь-июнь 2017 года,"102,50","129,80","129,40"
€нварь-декабрь 2016 года,"97,10","98,60","83,20"
€нварь-сент€брь 2016 года,"97,30","91,00","77,30"
€нварь-сент€брь 2015 года,"83,50","68,40","68,40"
€нварь-июнь 2015 года,"86,10","69,90","71,10"
€нварь-март 2015 года,"78,30","63,80","73,70"
€нварь-декабрь 2014 года,"97,70","59,00","94,40"
€нварь-сент€брь 2014 года,"94,10","56,30","98,80"
€нварь-декабрь 2013 года,"80,80","80,90","100,50"
€нварь-сент€брь 2013 года,"84,80","83,20","102,20"
€нварь-июнь 2013 года,"91,50","85,60","97,60"
€нварь-март 2013 года,"92,80","87,80","95,30"
