ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-декабрь 2018 года,"105,70","128,60","125,60"
€нварь-сент€брь 2018 года,"109,30","131,40","128,00"
€нварь-июнь 2018 года,"108,20","134,10","126,70"
€нварь-март 2018 года,"127,30","118,10","125,20"
€нварь-декабрь 2017 года,"127,30","118,10","125,20"
€нварь-июнь 2017 года,"130,40","129,80","129,40"
€нварь-декабрь 2016 года,"89,10","98,60","83,20"
€нварь-сент€брь 2016 года,"85,90","91,00","77,30"
€нварь-сент€брь 2015 года,"79,30","68,40","68,40"
€нварь-июнь 2015 года,"78,90","69,90","71,10"
€нварь-март 2015 года,"83,90","63,80","73,70"
€нварь-декабрь 2014 года,"97,40","59,00","94,40"
€нварь-сент€брь 2014 года,"97,80","56,30","98,80"
€нварь-декабрь 2013 года,"90,40","80,90","100,50"
€нварь-сент€брь 2013 года,"90,60","83,20","102,20"
€нварь-июнь 2013 года,"90,80","85,60","97,60"
€нварь-март 2013 года,"91,00","87,80","95,30"
