Период,Пермский край,Приволжский федеральный округ,Российская Федерация
январь-декабрь 2018 года,"116,70","109,10","106,70"
январь-сентябрь 2018 года,"103,20","112,40","107,90"
январь-июнь 2018 года,"96,80","121,10","113,60"
январь-март 2018 года,"81,20","140,20","120,60"
январь-декабрь 2017 года,"94,90","131,20","124,70"
январь-июнь 2017 года,"104,60","131,70","127,40"
январь-декабрь 2016 года,"105,80","90,40","99,80"
январь-сентябрь 2016 года,"106,70","86,40","96,60"
январь-сентябрь 2015 года,"56,20","61,70","61,70"
январь-июнь 2015 года,"53,10","62,90","61,00"
январь-март 2015 года,"65,10","64,50","62,80"
январь-декабрь 2014 года,"100,60","93,40","91,03"
январь-сентябрь 2014 года,"113,60","100,00","94,50"
январь-декабрь 2013 года,"120,90","113,30","100,30"
январь-сентябрь 2013 года,"110,50","112,20","102,20"
январь-июнь 2013 года,"99,10","113,50","104,20"
январь-март 2013 года,"104,70","114,00","104,70"
