ѕериод,“юменска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-декабрь 2018 года,"28,80","68,10","106,70"
€нварь-сент€брь 2018 года,"29,80","70,10","107,90"
€нварь-июнь 2018 года,"43,20","90,20","113,60"
€нварь-март 2018 года,"40,90","100,40","120,60"
€нварь-декабрь 2017 года,"117,20","128,60","124,70"
€нварь-июнь 2017 года,"182,20","158,90","127,40"
€нварь-декабрь 2016 года,"320,00","152,80","99,80"
€нварь-сент€брь 2016 года,"330,00","149,30","96,60"
€нварь-сент€брь 2015 года,"79,10","68,20","61,70"
€нварь-июнь 2015 года,"65,50","63,70","61,00"
€нварь-март 2015 года,"52,60","58,20","62,80"
€нварь-декабрь 2014 года,"100,50","83,20","91,03"
€нварь-сент€брь 2014 года,"112,10","90,60","94,50"
€нварь-декабрь 2013 года,"83,80","98,40","100,30"
€нварь-сент€брь 2013 года,"81,20","97,10","102,20"
€нварь-июнь 2013 года,"68,30","92,80","104,20"
€нварь-март 2013 года,"54,30","88,30","104,70"
