ѕериод,„ел€бинска€ область,”ральский федеральный округ,–оссийска€ ‘едераци€
€нварь-декабрь 2018 года,"102,80","68,10","106,70"
€нварь-сент€брь 2018 года,"110,70","70,10","107,90"
€нварь-июнь 2018 года,"123,20","90,20","113,60"
€нварь-март 2018 года,"133,50","100,40","120,60"
€нварь-декабрь 2017 года,"146,70","128,60","124,70"
€нварь-июнь 2017 года,"157,70","158,90","127,40"
€нварь-декабрь 2016 года,"93,20","152,80","99,80"
€нварь-сент€брь 2016 года,"82,80","149,30","96,60"
€нварь-сент€брь 2015 года,"52,20","68,20","61,70"
€нварь-июнь 2015 года,"49,30","63,70","61,00"
€нварь-март 2015 года,"46,10","58,20","62,80"
€нварь-декабрь 2014 года,"68,20","83,20","91,03"
€нварь-сент€брь 2014 года,"73,90","90,60","94,50"
€нварь-декабрь 2013 года,"103,30","98,40","100,30"
€нварь-сент€брь 2013 года,"102,60","97,10","102,20"
€нварь-июнь 2013 года,"107,80","92,80","104,20"
€нварь-март 2013 года,"108,10","88,30","104,70"
