INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;01.01.2016 0:00:00;1;630000;30382
1;01.01.2016 0:00:00;1;630000;29942
2;01.01.2016 0:00:00;1;630000;29658
3;01.01.2016 0:00:00;1;630000;29637
4;01.01.2016 0:00:00;1;630000;29517
5;01.01.2016 0:00:00;1;630000;29828
6;01.01.2016 0:00:00;1;630000;29891
7;01.01.2016 0:00:00;1;630000;29993
8;01.01.2016 0:00:00;1;630000;30230
9;01.01.2016 0:00:00;1;630000;30637
10;01.01.2016 0:00:00;1;630000;30719
11;01.01.2016 0:00:00;1;630000;30641
12;01.01.2016 0:00:00;1;630000;30685
13;01.01.2016 0:00:00;1;630000;31012
14;01.01.2016 0:00:00;1;630000;31630
15;01.01.2016 0:00:00;1;630000;32298
16;01.01.2016 0:00:00;1;630000;32417
17;01.01.2016 0:00:00;1;630000;32485
18;01.01.2016 0:00:00;1;630000;32296
19;01.01.2016 0:00:00;1;630000;31892
20;01.01.2016 0:00:00;1;630000;31453
21;01.01.2016 0:00:00;1;630000;30797
22;01.01.2016 0:00:00;1;630000;30343
23;01.01.2016 0:00:00;1;630000;29868
0;02.01.2016 0:00:00;1;630000;29748
1;02.01.2016 0:00:00;1;630000;29636
2;02.01.2016 0:00:00;1;630000;29659
3;02.01.2016 0:00:00;1;630000;29834
4;02.01.2016 0:00:00;1;630000;30075
5;02.01.2016 0:00:00;1;630000;30145
6;02.01.2016 0:00:00;1;630000;30837
7;02.01.2016 0:00:00;1;630000;31194
8;02.01.2016 0:00:00;1;630000;31654
9;02.01.2016 0:00:00;1;630000;31740
10;02.01.2016 0:00:00;1;630000;31786
11;02.01.2016 0:00:00;1;630000;31692
12;02.01.2016 0:00:00;1;630000;31518
13;02.01.2016 0:00:00;1;630000;31828
14;02.01.2016 0:00:00;1;630000;32380
15;02.01.2016 0:00:00;1;630000;33064
16;02.01.2016 0:00:00;1;630000;33149
17;02.01.2016 0:00:00;1;630000;33082
18;02.01.2016 0:00:00;1;630000;32777
19;02.01.2016 0:00:00;1;630000;32522
20;02.01.2016 0:00:00;1;630000;32117
21;02.01.2016 0:00:00;1;630000;31323
22;02.01.2016 0:00:00;1;630000;30768
23;02.01.2016 0:00:00;1;630000;30142
0;03.01.2016 0:00:00;1;630000;29835
1;03.01.2016 0:00:00;1;630000;29923
2;03.01.2016 0:00:00;1;630000;29839
3;03.01.2016 0:00:00;1;630000;29812
4;03.01.2016 0:00:00;1;630000;30222
5;03.01.2016 0:00:00;1;630000;30669
6;03.01.2016 0:00:00;1;630000;31399
7;03.01.2016 0:00:00;1;630000;31728
8;03.01.2016 0:00:00;1;630000;32077
9;03.01.2016 0:00:00;1;630000;32347
10;03.01.2016 0:00:00;1;630000;32561
11;03.01.2016 0:00:00;1;630000;32327
12;03.01.2016 0:00:00;1;630000;32463
13;03.01.2016 0:00:00;1;630000;32513
14;03.01.2016 0:00:00;1;630000;33242
15;03.01.2016 0:00:00;1;630000;33976
16;03.01.2016 0:00:00;1;630000;33699
17;03.01.2016 0:00:00;1;630000;33560
18;03.01.2016 0:00:00;1;630000;33283
19;03.01.2016 0:00:00;1;630000;32841
20;03.01.2016 0:00:00;1;630000;32406
21;03.01.2016 0:00:00;1;630000;31572
22;03.01.2016 0:00:00;1;630000;30851
23;03.01.2016 0:00:00;1;630000;30202
0;04.01.2016 0:00:00;1;630000;29820
1;04.01.2016 0:00:00;1;630000;29569
2;04.01.2016 0:00:00;1;630000;29860
3;04.01.2016 0:00:00;1;630000;29961
4;04.01.2016 0:00:00;1;630000;30362
5;04.01.2016 0:00:00;1;630000;31039
6;04.01.2016 0:00:00;1;630000;31833
7;04.01.2016 0:00:00;1;630000;32551
8;04.01.2016 0:00:00;1;630000;33215
9;04.01.2016 0:00:00;1;630000;33220
10;04.01.2016 0:00:00;1;630000;33221
11;04.01.2016 0:00:00;1;630000;33081
12;04.01.2016 0:00:00;1;630000;32978
13;04.01.2016 0:00:00;1;630000;32816
14;04.01.2016 0:00:00;1;630000;33530
15;04.01.2016 0:00:00;1;630000;34348
16;04.01.2016 0:00:00;1;630000;34249
17;04.01.2016 0:00:00;1;630000;34260
18;04.01.2016 0:00:00;1;630000;33942
19;04.01.2016 0:00:00;1;630000;33429
20;04.01.2016 0:00:00;1;630000;32595
21;04.01.2016 0:00:00;1;630000;31861
22;04.01.2016 0:00:00;1;630000;31480
23;04.01.2016 0:00:00;1;630000;30761
0;05.01.2016 0:00:00;1;630000;30460
1;05.01.2016 0:00:00;1;630000;30265
2;05.01.2016 0:00:00;1;630000;30006
3;05.01.2016 0:00:00;1;630000;30381
4;05.01.2016 0:00:00;1;630000;30878
5;05.01.2016 0:00:00;1;630000;31315
6;05.01.2016 0:00:00;1;630000;32290
7;05.01.2016 0:00:00;1;630000;32890
8;05.01.2016 0:00:00;1;630000;33537
9;05.01.2016 0:00:00;1;630000;33532
10;05.01.2016 0:00:00;1;630000;33399
11;05.01.2016 0:00:00;1;630000;33252
12;05.01.2016 0:00:00;1;630000;33232
13;05.01.2016 0:00:00;1;630000;33112
14;05.01.2016 0:00:00;1;630000;33777
15;05.01.2016 0:00:00;1;630000;34135
16;05.01.2016 0:00:00;1;630000;34537
17;05.01.2016 0:00:00;1;630000;34187
18;05.01.2016 0:00:00;1;630000;33890
19;05.01.2016 0:00:00;1;630000;33745
20;05.01.2016 0:00:00;1;630000;32995
21;05.01.2016 0:00:00;1;630000;31999
22;05.01.2016 0:00:00;1;630000;31534
23;05.01.2016 0:00:00;1;630000;30983
0;06.01.2016 0:00:00;1;630000;30564
1;06.01.2016 0:00:00;1;630000;30492
2;06.01.2016 0:00:00;1;630000;30417
3;06.01.2016 0:00:00;1;630000;30628
4;06.01.2016 0:00:00;1;630000;31049
5;06.01.2016 0:00:00;1;630000;31644
6;06.01.2016 0:00:00;1;630000;32472
7;06.01.2016 0:00:00;1;630000;32941
8;06.01.2016 0:00:00;1;630000;33291
9;06.01.2016 0:00:00;1;630000;33328
10;06.01.2016 0:00:00;1;630000;33473
11;06.01.2016 0:00:00;1;630000;33374
12;06.01.2016 0:00:00;1;630000;33103
13;06.01.2016 0:00:00;1;630000;33314
14;06.01.2016 0:00:00;1;630000;33970
15;06.01.2016 0:00:00;1;630000;34809
16;06.01.2016 0:00:00;1;630000;34424
17;06.01.2016 0:00:00;1;630000;34213
18;06.01.2016 0:00:00;1;630000;33890
19;06.01.2016 0:00:00;1;630000;33505
20;06.01.2016 0:00:00;1;630000;32782
21;06.01.2016 0:00:00;1;630000;32236
22;06.01.2016 0:00:00;1;630000;31505
23;06.01.2016 0:00:00;1;630000;30888
0;07.01.2016 0:00:00;1;630000;30668
1;07.01.2016 0:00:00;1;630000;30558
2;07.01.2016 0:00:00;1;630000;30513
3;07.01.2016 0:00:00;1;630000;30734
4;07.01.2016 0:00:00;1;630000;30952
5;07.01.2016 0:00:00;1;630000;31153
6;07.01.2016 0:00:00;1;630000;31910
7;07.01.2016 0:00:00;1;630000;32232
8;07.01.2016 0:00:00;1;630000;32577
9;07.01.2016 0:00:00;1;630000;32951
10;07.01.2016 0:00:00;1;630000;32944
11;07.01.2016 0:00:00;1;630000;32768
12;07.01.2016 0:00:00;1;630000;32635
13;07.01.2016 0:00:00;1;630000;32550
14;07.01.2016 0:00:00;1;630000;33252
