INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN;GEN_FACT;GEN_PLAN
0;01.12.2019 0:00:00;1;0;87719;88784;89660;91202
1;01.12.2019 0:00:00;1;0;86556;87177;88573;89874
2;01.12.2019 0:00:00;1;0;85543;86043;88360;88992
3;01.12.2019 0:00:00;1;0;85387;86265;88415;89209
4;01.12.2019 0:00:00;1;0;86142;86867;89259;89771
5;01.12.2019 0:00:00;1;0;87521;88566;91015;91497
6;01.12.2019 0:00:00;1;0;90086;90949;92864;93435
7;01.12.2019 0:00:00;1;0;92551;93583;95230;96260
8;01.12.2019 0:00:00;1;0;95435;96566;98559;98913
9;01.12.2019 0:00:00;1;0;97990;98642;100638;101131
10;01.12.2019 0:00:00;1;0;99056;99090;101763;101826
11;01.12.2019 0:00:00;1;0;98991;99317;101875;102121
12;01.12.2019 0:00:00;1;0;99147;99242;101406;102109
13;01.12.2019 0:00:00;1;0;99253;99600;102398;102471
14;01.12.2019 0:00:00;1;0;99911;100183;102758;102977
15;01.12.2019 0:00:00;1;0;101773;102207;105700;104943
16;01.12.2019 0:00:00;1;0;104627;105351;108006;108134
17;01.12.2019 0:00:00;1;0;104768;105222;108297;108054
18;01.12.2019 0:00:00;1;0;103758;104465;107079;107321
19;01.12.2019 0:00:00;1;0;101870;102472;105096;105246
20;01.12.2019 0:00:00;1;0;99866;100525;102397;102941
21;01.12.2019 0:00:00;1;0;96997;97428;99579;99589
22;01.12.2019 0:00:00;1;0;92868;93579;95884;96770
23;01.12.2019 0:00:00;1;0;89737;90592;92758;93418
0;02.12.2019 0:00:00;1;0;87422;88183;90519;91267
1;02.12.2019 0:00:00;1;0;86342;86897;89310;90092
2;02.12.2019 0:00:00;1;0;85734;86181;88867;89531
3;02.12.2019 0:00:00;1;0;86547;86911;89762;90189
4;02.12.2019 0:00:00;1;0;88792;89011;92077;92206
5;02.12.2019 0:00:00;1;0;93239;93690;95939;95745
6;02.12.2019 0:00:00;1;0;99075;99881;100511;101254
7;02.12.2019 0:00:00;1;0;103241;104356;103137;104345
8;02.12.2019 0:00:00;1;0;106120;107489;106346;107535
9;02.12.2019 0:00:00;1;0;107354;108899;107983;109179
10;02.12.2019 0:00:00;1;0;106605;107975;107028;108244
11;02.12.2019 0:00:00;1;0;106526;106819;106955;107088
12;02.12.2019 0:00:00;1;0;106348;106109;108868;108154
13;02.12.2019 0:00:00;1;0;106475;107075;108746;109180
14;02.12.2019 0:00:00;1;0;106749;107599;107498;107921
15;02.12.2019 0:00:00;1;0;107977;108713;108396;108920
16;02.12.2019 0:00:00;1;0;108979;110125;109749;110344
17;02.12.2019 0:00:00;1;0;108529;109748;108796;109984
18;02.12.2019 0:00:00;1;0;107617;108178;107772;108197
19;02.12.2019 0:00:00;1;0;105397;105971;105638;105891
20;02.12.2019 0:00:00;1;0;103127;103761;103274;103621
21;02.12.2019 0:00:00;1;0;99591;100144;101708;101738
22;02.12.2019 0:00:00;1;0;95368;95477;97671;97304
23;02.12.2019 0:00:00;1;0;91735;91905;93491;93555
0;03.12.2019 0:00:00;1;0;89518;89446;92176;92274
1;03.12.2019 0:00:00;1;0;88344;88282;91580;91234
2;03.12.2019 0:00:00;1;0;88121;88060;91356;91084
3;03.12.2019 0:00:00;1;0;89005;88926;92364;91774
4;03.12.2019 0:00:00;1;0;90788;91569;94678;94323
5;03.12.2019 0:00:00;1;0;95194;95857;98237;98114
6;03.12.2019 0:00:00;1;0;100678;101304;103668;103337
7;03.12.2019 0:00:00;1;0;104264;105346;106014;105768
8;03.12.2019 0:00:00;1;0;107406;108337;108639;108797
9;03.12.2019 0:00:00;1;0;107852;109227;108762;109666
10;03.12.2019 0:00:00;1;0;107351;108440;108229;108882
11;03.12.2019 0:00:00;1;0;106537;107196;107628;107759
12;03.12.2019 0:00:00;1;0;106562;107251;109420;109622
13;03.12.2019 0:00:00;1;0;106524;106987;109838;109574
14;03.12.2019 0:00:00;1;0;106738;107362;107688;108082
15;03.12.2019 0:00:00;1;0;108223;108487;109586;108923
16;03.12.2019 0:00:00;1;0;109283;109940;110607;110396
17;03.12.2019 0:00:00;1;0;108410;109460;108927;109866
18;03.12.2019 0:00:00;1;0;107392;108456;108782;108592
19;03.12.2019 0:00:00;1;0;105576;106336;105978;106535
20;03.12.2019 0:00:00;1;0;103457;103433;103649;103793
21;03.12.2019 0:00:00;1;0;99577;100294;101985;102122
22;03.12.2019 0:00:00;1;0;95770;96146;97599;98116
23;03.12.2019 0:00:00;1;0;91910;92361;94150;94200
0;04.12.2019 0:00:00;1;0;89574;90226;92061;92606
1;04.12.2019 0:00:00;1;0;88863;88875;91323;91419
2;04.12.2019 0:00:00;1;0;88263;88533;91269;91375
3;04.12.2019 0:00:00;1;0;88713;89212;92179;92004
4;04.12.2019 0:00:00;1;0;91044;91426;94477;94102
5;04.12.2019 0:00:00;1;0;94981;95480;98230;98061
6;04.12.2019 0:00:00;1;0;100928;101235;103396;103631
7;04.12.2019 0:00:00;1;0;104679;105439;106640;106028
8;04.12.2019 0:00:00;1;0;107695;108345;109730;108816
9;04.12.2019 0:00:00;1;0;108196;108902;108995;109441
10;04.12.2019 0:00:00;1;0;107139;108404;108406;108884
11;04.12.2019 0:00:00;1;0;106757;107657;108051;108266
12;04.12.2019 0:00:00;1;0;107033;107376;109581;110009
13;04.12.2019 0:00:00;1;0;107445;107426;110496;110161
14;04.12.2019 0:00:00;1;0;107970;107823;109450;108743
15;04.12.2019 0:00:00;1;0;108715;109434;109732;110000
16;04.12.2019 0:00:00;1;0;110125;110519;111132;111310
17;04.12.2019 0:00:00;1;0;109573;110131;110367;110712
18;04.12.2019 0:00:00;1;0;108510;108951;109262;109414
19;04.12.2019 0:00:00;1;0;106019;106790;106314;107422
20;04.12.2019 0:00:00;1;0;104020;104602;105341;105285
21;04.12.2019 0:00:00;1;0;100435;100849;102550;103303
22;04.12.2019 0:00:00;1;0;96239;96420;99478;99058
23;04.12.2019 0:00:00;1;0;92433;92704;94879;95271
0;05.12.2019 0:00:00;1;0;89481;90027;91127;91787
1;05.12.2019 0:00:00;1;0;88424;88827;90261;90521
2;05.12.2019 0:00:00;1;0;88137;88554;90098;90436
3;05.12.2019 0:00:00;1;0;88718;89069;90791;90865
4;05.12.2019 0:00:00;1;0;90596;91174;93480;93578
5;05.12.2019 0:00:00;1;0;94595;95486;98319;97737
6;05.12.2019 0:00:00;1;0;100177;101171;102494;102919
7;05.12.2019 0:00:00;1;0;104106;104977;105045;105005
8;05.12.2019 0:00:00;1;0;106668;107838;107601;107844
9;05.12.2019 0:00:00;1;0;106695;108579;107578;108660
10;05.12.2019 0:00:00;1;0;106555;107472;107942;107581
11;05.12.2019 0:00:00;1;0;105671;106019;106811;106070
12;05.12.2019 0:00:00;1;0;105757;106430;108083;108099
13;05.12.2019 0:00:00;1;0;105934;106594;107686;108151
14;05.12.2019 0:00:00;1;0;106252;106851;106919;107099
15;05.12.2019 0:00:00;1;0;107530;108097;107656;108329
16;05.12.2019 0:00:00;1;0;108511;109382;108703;109628
17;05.12.2019 0:00:00;1;0;108048;109044;108357;109193
18;05.12.2019 0:00:00;1;0;107124;107625;107530;107758
19;05.12.2019 0:00:00;1;0;104752;105633;104554;105564
20;05.12.2019 0:00:00;1;0;102698;103391;103076;103209
21;05.12.2019 0:00:00;1;0;99280;99959;100522;101244
22;05.12.2019 0:00:00;1;0;94875;95305;96423;96608
23;05.12.2019 0:00:00;1;0;91746;91649;92589;92823
0;06.12.2019 0:00:00;1;0;89891;89439;91460;91760
1;06.12.2019 0:00:00;1;0;88291;88237;90019;90871
2;06.12.2019 0:00:00;1;0;87682;88323;90657;90982
3;06.12.2019 0:00:00;1;0;88178;88654;91064;91293
4;06.12.2019 0:00:00;1;0;90160;90685;93068;93164
5;06.12.2019 0:00:00;1;0;94587;94873;97237;96761
6;06.12.2019 0:00:00;1;0;100253;100323;102396;101895
7;06.12.2019 0:00:00;1;0;103914;104271;104705;104505
8;06.12.2019 0:00:00;1;0;106826;107546;107729;107681
9;06.12.2019 0:00:00;1;0;107238;108271;108017;108490
10;06.12.2019 0:00:00;1;0;106350;107144;106962;107425
11;06.12.2019 0:00:00;1;0;106077;106318;106462;106696
12;06.12.2019 0:00:00;1;0;105862;106044;108980;108057
13;06.12.2019 0:00:00;1;0;105563;106216;107436;108302
14;06.12.2019 0:00:00;1;0;105898;106434;106164;107055
15;06.12.2019 0:00:00;1;0;106464;107130;106893;107537
16;06.12.2019 0:00:00;1;0;108129;108444;108437;108815
17;06.12.2019 0:00:00;1;0;107784;108348;108831;108882
18;06.12.2019 0:00:00;1;0;106418;107140;107105;107566
19;06.12.2019 0:00:00;1;0;104450;105002;105048;105286
20;06.12.2019 0:00:00;1;0;102494;102613;102647;102897
21;06.12.2019 0:00:00;1;0;99382;99618;101651;101431
22;06.12.2019 0:00:00;1;0;95456;95810;98014;98181
23;06.12.2019 0:00:00;1;0;92167;92065;95298;95186
0;07.12.2019 0:00:00;1;0;89899;89704;92342;92360
1;07.12.2019 0:00:00;1;0;87677;88122;90923;90822
2;07.12.2019 0:00:00;1;0;86807;88217;90004;91095
3;07.12.2019 0:00:00;1;0;87247;87633;90324;90652
4;07.12.2019 0:00:00;1;0;87649;88592;90991;91500
5;07.12.2019 0:00:00;1;0;89932;90593;93477;93480
6;07.12.2019 0:00:00;1;0;93312;93366;96100;96337
7;07.12.2019 0:00:00;1;0;95845;96374;99127;99198
8;07.12.2019 0:00:00;1;0;98971;100049;102687;102957
9;07.12.2019 0:00:00;1;0;101315;102024;103894;104948
10;07.12.2019 0:00:00;1;0;101658;102507;105842;105440
11;07.12.2019 0:00:00;1;0;101283;101966;104249;104833
12;07.12.2019 0:00:00;1;0;100792;101667;105111;104681
13;07.12.2019 0:00:00;1;0;101012;101732;104621;104785
14;07.12.2019 0:00:00;1;0;101117;101918;105244;104955
15;07.12.2019 0:00:00;1;0;103204;103290;107600;106173
16;07.12.2019 0:00:00;1;0;105096;105225;108551;107847
17;07.12.2019 0:00:00;1;0;104522;105572;108041;108349
18;07.12.2019 0:00:00;1;0;103404;104393;107189;107103
19;07.12.2019 0:00:00;1;0;101937;102249;105401;104928
20;07.12.2019 0:00:00;1;0;99688;100333;103205;103158
21;07.12.2019 0:00:00;1;0;97484;97559;100361;100339
22;07.12.2019 0:00:00;1;0;94226;93854;96989;96904
23;07.12.2019 0:00:00;1;0;90834;90943;94528;94237
0;08.12.2019 0:00:00;1;0;88931;89131;91403;91630
1;08.12.2019 0:00:00;1;0;87067;87462;90023;90190
2;08.12.2019 0:00:00;1;0;86060;86736;88529;89492
3;08.12.2019 0:00:00;1;0;86037;86624;89244;89527
4;08.12.2019 0:00:00;1;0;86127;87141;89563;90122
5;08.12.2019 0:00:00;1;0;88173;89172;91699;92120
6;08.12.2019 0:00:00;1;0;90728;91266;93749;94262
7;08.12.2019 0:00:00;1;0;92698;93424;95725;96174
8;08.12.2019 0:00:00;1;0;95895;96591;99338;99461
9;08.12.2019 0:00:00;1;0;98513;98848;102242;101768
10;08.12.2019 0:00:00;1;0;99279;99501;102945;102490
11;08.12.2019 0:00:00;1;0;99475;99640;103005;102129
12;08.12.2019 0:00:00;1;0;99500;99607;102925;102226
13;08.12.2019 0:00:00;1;0;100017;100005;103786;103067
14;08.12.2019 0:00:00;1;0;100427;100804;104299;103879
15;08.12.2019 0:00:00;1;0;101777;102826;105944;105560
16;08.12.2019 0:00:00;1;0;104198;105340;107890;107992
17;08.12.2019 0:00:00;1;0;104152;105120;107685;108129
18;08.12.2019 0:00:00;1;0;103206;104048;107073;106464
19;08.12.2019 0:00:00;1;0;101362;102262;104178;104449
20;08.12.2019 0:00:00;1;0;99776;100366;102631;102476
21;08.12.2019 0:00:00;1;0;96614;97384;99243;99418
22;08.12.2019 0:00:00;1;0;92523;93357;94868;95539
23;08.12.2019 0:00:00;1;0;89364;90408;91729;92525
0;09.12.2019 0:00:00;1;0;87262;88274;90279;91370
1;09.12.2019 0:00:00;1;0;85766;86918;88879;90098
2;09.12.2019 0:00:00;1;0;85319;86071;88181;88515
3;09.12.2019 0:00:00;1;0;85649;86455;89025;88988
4;09.12.2019 0:00:00;1;0;87955;88695;90832;90858
5;09.12.2019 0:00:00;1;0;92350;92930;94707;94627
6;09.12.2019 0:00:00;1;0;98227;98680;100120;99829
7;09.12.2019 0:00:00;1;0;102542;102754;103492;103167
8;09.12.2019 0:00:00;1;0;105318;105794;106388;106683
9;09.12.2019 0:00:00;1;0;105963;106617;107376;107577
10;09.12.2019 0:00:00;1;0;105504;106148;107238;107128
11;09.12.2019 0:00:00;1;0;104625;105365;106016;105969
12;09.12.2019 0:00:00;1;0;104755;105165;107590;107643
13;09.12.2019 0:00:00;1;0;105236;104962;107841;107582
14;09.12.2019 0:00:00;1;0;105798;105587;106740;106599
15;09.12.2019 0:00:00;1;0;106003;106880;107227;107488
16;09.12.2019 0:00:00;1;0;107252;108583;108362;109082
17;09.12.2019 0:00:00;1;0;106820;107703;108202;108398
18;09.12.2019 0:00:00;1;0;105833;105985;107045;106491
